VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,pickup_X,pickup_Y,pickup_borough,location_i_pickup,objectid_pickup,pickup_shape_area,shape_leng_pickup,pickup_zone,X,Y,borough,location_i_dropoff,objectid_dropoff,shape_area,shape_leng_dropoff,zone
2,11/1/2022 0:34,11/1/2022 0:40,1,0.42,1,N,48,50,2,4,0.5,0.5,0,0,0.3,7.8,2.5,0,-73.98985665,40.76223669,Manhattan,48,48,9.42538425377e-05,0.043746744,Clinton East,-73.99389977,40.76669181,Manhattan,50,50,0.000173249,0.055747987,Clinton West
2,11/1/2022 0:52,11/1/2022 1:03,1,1.63,1,N,246,170,1,8.5,0.5,0.5,2.46,0,0.3,14.76,2.5,0,-74.00451221,40.75243776,Manhattan,246,246,0.000281298,0.069467194,West Chelsea/Hudson Yards,-73.97694274,40.74765443,Manhattan,170,170,7.43150675972e-05,0.045769009,Murray Hill
2,11/1/2022 0:26,11/1/2022 0:40,1,2.46,1,N,100,79,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5,0,-73.9887859,40.75351403,Manhattan,100,100,3.74700210291e-05,0.024813109,Garment District,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village
2,11/1/2022 0:55,11/1/2022 1:01,1,0.87,1,N,68,249,1,5.5,0.5,0.5,1,0,0.3,10.3,2.5,0,-73.99994016,40.74839716,Manhattan,68,68,0.000111073,0.04933738,East Chelsea,-74.00249691,40.73461128,Manhattan,249,249,7.22155957729e-05,0.036384344,West Village
2,11/1/2022 0:12,11/1/2022 0:31,1,4.73,1,N,249,238,1,17,0.5,0.5,4.16,0,0.3,24.96,2.5,0,-74.00249691,40.73461128,Manhattan,249,249,7.22155957729e-05,0.036384344,West Village,-73.97281448,40.79176595,Manhattan,238,238,0.000184764,0.060109311,Upper West Side North
1,11/1/2022 0:08,11/1/2022 0:17,1,2.8,1,N,48,151,1,9.5,3,0.5,3.35,0,0.3,16.65,2.5,0,-73.98985665,40.76223669,Manhattan,48,48,9.42538425377e-05,0.043746744,Clinton East,-73.96780678,40.79786723,Manhattan,151,151,0.000128849,0.054889941,Manhattan Valley
1,11/1/2022 0:52,11/1/2022 0:57,1,0.9,1,N,237,263,1,5,3,0.5,1.32,0,0.3,10.12,2.5,0,-73.96569149,40.76854181,Manhattan,237,237,9.59873206621e-05,0.0422126,Upper East Side South,-73.95120935,40.77849396,Manhattan,263,263,6.57697664169e-05,0.037016625,Yorkville West
2,11/1/2022 0:36,11/1/2022 0:42,1,0.95,1,N,230,164,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5,0,-73.98417616,40.75984468,Manhattan,230,230,5.60914463266e-05,0.03102831,Times Sq/Theatre District,-73.98592911,40.74880822,Manhattan,164,164,5.56318237441e-05,0.035771612,Midtown South
1,11/1/2022 0:10,11/1/2022 0:21,2,2.2,1,N,79,234,2,10,3,0.5,0,0,0.3,13.8,2.5,0,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village,-73.99047762,40.74031339,Manhattan,234,234,7.31054382894e-05,0.036072199,Union Sq
2,11/1/2022 0:51,11/1/2022 1:05,1,4.81,1,N,249,151,1,15,0.5,0.5,3.76,0,0.3,22.56,2.5,0,-74.00249691,40.73461128,Manhattan,249,249,7.22155957729e-05,0.036384344,West Village,-73.96780678,40.79786723,Manhattan,151,151,0.000128849,0.054889941,Manhattan Valley
